"","date","week"
"329",2021-03-02,"2021 / 9"
"330",2021-03-03,"2021 / 9"
"331",2021-03-04,"2021 / 9"
"332",2021-03-05,"2021 / 9"
"333",2021-03-06,"2021 / 9"
"334",2021-03-07,"2021 / 9"
"335",2021-03-08,"2021 / 10"
"336",2021-03-09,"2021 / 10"
"337",2021-03-10,"2021 / 10"
"338",2021-03-11,"2021 / 10"
"339",2021-03-12,"2021 / 10"
"340",2021-03-13,"2021 / 10"
"341",2021-03-14,"2021 / 10"
"342",2021-03-15,"2021 / 11"
"343",2021-03-16,"2021 / 11"
"344",2021-03-17,"2021 / 11"
"345",2021-03-18,"2021 / 11"
"346",2021-03-19,"2021 / 11"
"347",2021-03-20,"2021 / 11"
"348",2021-03-21,"2021 / 11"
"349",2021-03-22,"2021 / 12"
"350",2021-03-23,"2021 / 12"
"351",2021-03-24,"2021 / 12"
"352",2021-03-25,"2021 / 12"
"353",2021-03-26,"2021 / 12"
"354",2021-03-27,"2021 / 12"
"355",2021-03-28,"2021 / 12"
"356",2021-03-29,"2021 / 13"
"357",2021-03-30,"2021 / 13"
"358",2021-03-31,"2021 / 13"
"359",2021-04-01,"2021 / 13"
"360",2021-04-02,"2021 / 13"
"361",2021-04-03,"2021 / 13"
"362",2021-04-04,"2021 / 13"
"363",2021-04-05,"2021 / 14"
"364",2021-04-06,"2021 / 14"
"365",2021-04-07,"2021 / 14"
"366",2021-04-08,"2021 / 14"
"367",2021-04-09,"2021 / 14"
"368",2021-04-10,"2021 / 14"
"369",2021-04-11,"2021 / 14"
"370",2021-04-12,"2021 / 15"
"371",2021-04-13,"2021 / 15"
"372",2021-04-14,"2021 / 15"
"373",2021-04-15,"2021 / 15"
"374",2021-04-16,"2021 / 15"
"375",2021-04-17,"2021 / 15"
"376",2021-04-18,"2021 / 15"
"377",2021-04-19,"2021 / 16"
"378",2021-04-20,"2021 / 16"
"379",2021-04-21,"2021 / 16"
"380",2021-04-22,"2021 / 16"
"381",2021-04-23,"2021 / 16"
"382",2021-04-24,"2021 / 16"
"383",2021-04-25,"2021 / 16"
"384",2021-04-26,"2021 / 17"
"385",2021-04-27,"2021 / 17"
"386",2021-04-28,"2021 / 17"
"387",2021-04-29,"2021 / 17"
"388",2021-04-30,"2021 / 17"
"389",2021-05-01,"2021 / 17"
"390",2021-05-02,"2021 / 17"
"391",2021-05-03,"2021 / 18"
"392",2021-05-04,"2021 / 18"
"393",2021-05-05,"2021 / 18"
"394",2021-05-06,"2021 / 18"
"395",2021-05-07,"2021 / 18"
"396",2021-05-08,"2021 / 18"
"397",2021-05-09,"2021 / 18"
"398",2021-05-10,"2021 / 19"
"399",2021-05-11,"2021 / 19"
"400",2021-05-12,"2021 / 19"
"401",2021-05-13,"2021 / 19"
"402",2021-05-14,"2021 / 19"
"403",2021-05-15,"2021 / 19"
"404",2021-05-16,"2021 / 19"
"405",2021-05-17,"2021 / 20"
"406",2021-05-18,"2021 / 20"
"407",2021-05-19,"2021 / 20"
"408",2021-05-20,"2021 / 20"
"409",2021-05-21,"2021 / 20"
"410",2021-05-22,"2021 / 20"
"411",2021-05-23,"2021 / 20"
"412",2021-05-24,"2021 / 21"
"413",2021-05-25,"2021 / 21"
"414",2021-05-26,"2021 / 21"
"415",2021-05-27,"2021 / 21"
"416",2021-05-28,"2021 / 21"
"417",2021-05-29,"2021 / 21"
"418",2021-05-30,"2021 / 21"
"419",2021-05-31,"2021 / 22"
"420",2021-06-01,"2021 / 22"
"421",2021-06-02,"2021 / 22"
"422",2021-06-03,"2021 / 22"
"423",2021-06-04,"2021 / 22"
"424",2021-06-05,"2021 / 22"
