"","part_social_group","weekend","week","part_age_group","sample","sample_total","sample_proportion","pop_estimate","pop_proportion","weight_raw","weight_proportion"
"199","A - Upper middle class",FALSE,"2020 / 49","40-49",8,1086,0.00736648250460405,344.17004,0.000103420929738935,43.021255,0.0140393912120604
"200","A - Upper middle class",FALSE,"2020 / 49","50-59",4,1086,0.00368324125230203,366.9386,0.000110262738642513,91.73465,0.0299363335414422
"201","A - Upper middle class",FALSE,"2020 / 49","60-69",8,1086,0.00736648250460405,291.47108,8.75852241107666e-05,36.433885,0.0118896941730366
"202","A - Upper middle class",FALSE,"2020 / 49","70-120",8,1086,0.00736648250460405,371.25004,0.000111558299212845,46.406255,0.0151440391181437
"203","A - Upper middle class",FALSE,"2020 / 50","18-29",15,2952,0.00508130081300813,401.83808,0.000120749812616196,26.7892053333333,0.0237635631228673
"204","A - Upper middle class",FALSE,"2020 / 50","30-39",17,2952,0.00575880758807588,371.80096,0.000111723847203634,21.8706447058824,0.0194005174673604
"205","A - Upper middle class",FALSE,"2020 / 50","40-49",21,2952,0.00711382113821138,344.17004,0.000103420929738935,16.3890495238095,0.0145380278375874
"206","A - Upper middle class",FALSE,"2020 / 50","50-59",28,2952,0.00948509485094851,366.9386,0.000110262738642513,13.10495,0.0116248430168821
"207","A - Upper middle class",FALSE,"2020 / 50","60-69",25,2952,0.00846883468834688,291.47108,8.75852241107666e-05,11.6588432,0.0103420632629993
"208","A - Upper middle class",FALSE,"2020 / 50","70-120",15,2952,0.00508130081300813,371.25004,0.000111558299212845,24.7500026666667,0.0219546732850879
"209","A - Upper middle class",FALSE,"2020 / 51","18-29",7,1668,0.00419664268585132,401.83808,0.000120749812616196,57.40544,0.0287729553491163
"210","A - Upper middle class",FALSE,"2020 / 51","30-39",4,1668,0.00239808153477218,371.80096,0.000111723847203634,92.95024,0.0465888442839154
"211","A - Upper middle class",FALSE,"2020 / 51","40-49",8,1668,0.00479616306954436,344.17004,0.000103420929738935,43.021255,0.0215632638505679
"212","A - Upper middle class",FALSE,"2020 / 51","50-59",3,1668,0.00179856115107914,366.9386,0.000110262738642513,122.312866666667,0.0613060826852371
"213","A - Upper middle class",FALSE,"2020 / 51","60-69",10,1668,0.00599520383693046,291.47108,8.75852241107666e-05,29.147108,0.0146092153816759
"214","A - Upper middle class",FALSE,"2020 / 51","70-120",4,1668,0.00239808153477218,371.25004,0.000111558299212845,92.81251,0.0465198107717563
"215","A - Upper middle class",FALSE,"2020 / 52","18-29",30,3989,0.00752068187515668,401.83808,0.000120749812616196,13.3946026666667,0.0160557000842001
"216","A - Upper middle class",FALSE,"2020 / 52","30-39",17,3989,0.00426171972925545,371.80096,0.000111723847203634,21.8706447058824,0.0262156721467821
"217","A - Upper middle class",FALSE,"2020 / 52","40-49",19,3989,0.00476309852093256,344.17004,0.000103420929738935,18.1142126315789,0.021712952038348
"218","A - Upper middle class",FALSE,"2020 / 52","50-59",22,3989,0.00551516670844823,366.9386,0.000110262738642513,16.6790272727273,0.0199926392929538
"219","A - Upper middle class",FALSE,"2020 / 52","60-69",29,3989,0.00726999247931812,291.47108,8.75852241107666e-05,10.0507268965517,0.012047498585443
"220","A - Upper middle class",FALSE,"2020 / 52","70-120",16,3989,0.0040110303334169,371.25004,0.000111558299212845,23.2031275,0.0278128784725024
"221","A - Upper middle class",FALSE,"2020 / 53","18-29",15,2168,0.00691881918819188,401.83808,0.000120749812616196,26.7892053333333,0.0174523729167941
"222","A - Upper middle class",FALSE,"2020 / 53","30-39",9,2168,0.00415129151291513,371.80096,0.000111723847203634,41.3112177777778,0.0269130334152754
"223","A - Upper middle class",FALSE,"2020 / 53","40-49",6,2168,0.00276752767527675,344.17004,0.000103420929738935,57.3616733333333,0.0373694292790018
"224","A - Upper middle class",FALSE,"2020 / 53","50-59",20,2168,0.00922509225092251,366.9386,0.000110262738642513,18.34693,0.0119524808688484
"225","A - Upper middle class",FALSE,"2020 / 53","60-69",21,2168,0.00968634686346864,291.47108,8.75852241107666e-05,13.8795752380952,0.00904213170819724
"226","A - Upper middle class",FALSE,"2020 / 53","70-120",13,2168,0.00599630996309963,371.25004,0.000111558299212845,28.5576953846154,0.0186044917456498
"227","A - Upper middle class",FALSE,"2021 / 01","18-29",15,2395,0.00626304801670146,401.83808,0.000120749812616196,26.7892053333333,0.0192797200810526
