"","part_social_group","week","part_age_group","sample","sample_total","sample_proportion","pop_estimate","pop_proportion","weight_raw","weight_proportion"
"2221","C2 - Skilled working class","2021 / 27","70-120",19,2071,0.00917431192660551,1949.06271,3.96286409255951e-05,102.582247894737,0.00431952186088987
"2222","C2 - Skilled working class","2021 / 28","18-29",10,2340,0.00427350427350427,2109.64992,4.28937246243814e-05,210.964992,0.0100371315621052
"2223","C2 - Skilled working class","2021 / 28","30-39",20,2340,0.00854700854700855,1951.95504,3.96874482212354e-05,97.597752,0.00464343144188454
"2224","C2 - Skilled working class","2021 / 28","40-49",21,2340,0.00897435897435897,1806.89271,3.67380187555204e-05,86.04251,0.00409366494704371
"2225","C2 - Skilled working class","2021 / 28","50-59",27,2340,0.0115384615384615,1926.42765,3.91684214260033e-05,71.3491722222222,0.00339459652358695
"2226","C2 - Skilled working class","2021 / 28","60-69",74,2340,0.0316239316239316,1530.22317,3.1112731380488e-05,20.6786914864865,0.000983835019328944
"2227","C2 - Skilled working class","2021 / 28","70-120",19,2340,0.00811965811965812,1949.06271,3.96286409255951e-05,102.582247894737,0.00488057998767856
"2228","C2 - Skilled working class","2021 / 29","18-29",9,2433,0.00369913686806412,2109.64992,4.28937246243814e-05,234.405546666667,0.0115956035567911
"2229","C2 - Skilled working class","2021 / 29","30-39",26,2433,0.0106863953966297,1951.95504,3.96874482212354e-05,75.0751938461539,0.00371382928931791
"2230","C2 - Skilled working class","2021 / 29","40-49",28,2433,0.011508425811755,1806.89271,3.67380187555204e-05,64.5318825,0.00319227141543504
"2231","C2 - Skilled working class","2021 / 29","50-59",45,2433,0.0184956843403206,1926.42765,3.91684214260033e-05,42.8095033333333,0.00211770598509924
"2232","C2 - Skilled working class","2021 / 29","60-69",74,2433,0.0304151253596383,1530.22317,3.1112731380488e-05,20.6786914864865,0.00102293615471253
"2233","C2 - Skilled working class","2021 / 29","70-120",53,2433,0.021783806000822,1949.06271,3.96286409255951e-05,36.7747681132075,0.00181917893154666
"2234","C2 - Skilled working class","2021 / 30","18-29",6,2830,0.00212014134275618,2109.64992,4.28937246243814e-05,351.60832,0.0202315401144999
"2235","C2 - Skilled working class","2021 / 30","30-39",21,2830,0.00742049469964664,1951.95504,3.96874482212354e-05,92.95024,0.00534835611743315
"2236","C2 - Skilled working class","2021 / 30","40-49",23,2830,0.00812720848056537,1806.89271,3.67380187555204e-05,78.5605526086957,0.0045203736120923
"2237","C2 - Skilled working class","2021 / 30","50-59",39,2830,0.0137809187279152,1926.42765,3.91684214260033e-05,49.3955807692308,0.00284222134963049
"2238","C2 - Skilled working class","2021 / 30","60-69",68,2830,0.0240282685512367,1530.22317,3.1112731380488e-05,22.5032819117647,0.00129483867362913
